text,intent
Can you track my order?,track_order
Please abort my delivery for kurta. ASAP.,cancel_order
Urgent: How to share my feedback on the watch?,product_review
I want to know I am waiting for my refund since yesterday.,refund_status
I want to know When is the expected delivery? please.,delivery_time
I want to know What is the estimated delivery time? thanks.,delivery_time
I want to know Are you open tomorrow? please.,store_hours
Can I get it delivered 15th August?,delivery_time
Can you tell me Do you provide a discount for 5 pieces of laptop?,bulk_order
I need a smaller size for my saree. now.,exchange_product
Urgent: Amount deducted from my account erroneously. now.,payment_issue
When will I get my refund? please.,refund_status
Gift wrapping cost?,gift_wrapping
Urgent: Is the watch available in size XXL? ASAP.,product_availability
I need to order t-shirt in bulk.,bulk_order
Can you tell me How to edit delivery address?,change_address
How long does shipping take? ASAP.,delivery_time
Please Bulk discount available? please.,bulk_order
Promo code OFF12 is not accepted.,coupon_apply
Please Is express delivery available? please.,delivery_time
Can you tell me I paid for the watch but didn't get confirmation. please.,payment_issue
I can't log into my account.,account_login
Can you tell me Deliver this to Jaipur instead.,change_address
"Can you tell me I changed my mind, cancel order ORD4266. please.",cancel_order
Please Do you offer gift wrapping?,gift_wrapping
Please I want to change my delivery address. ASAP.,change_address
Can you tell me My login is failing.,account_login
"Hi, My payment is stuck. ASAP.",payment_issue
I want to know Cancel order ORD4408. now.,cancel_order
Urgent: Is this item out of stock? ASAP.,product_availability
Can you tell me Is shipping free? ASAP.,shipping_cost
"Hi, How many months of warranty for saree?",warranty_info
"Can you tell me I don't like the perfume, arrange for a return. please.",return_product
Can you tell me What is the status of my order ORD1659?,track_order
My login is failing.,account_login
Are you currently open?,store_hours
Can you tell me Until what time are you open? ASAP.,store_hours
I want to give 5 stars. thanks.,product_review
Can I get a perfume in XXL instead? thanks.,exchange_product
Please Put me through to support staff. thanks.,human_escalate
I was charged twice for order ORD3931. please.,payment_issue
I want to know My watch is under warranty. now.,warranty_info
"Hi, I want to send the watch back.",return_product
I am waiting for my refund since 10th October. now.,refund_status
Complaint about the courier in Mumbai. please.,complaint_register
Urgent: I want to exchange this jeans. now.,exchange_product
Where can I write a product review? please.,product_review
I want to know Do you offer gift wrapping? please.,gift_wrapping
Can you tell me Can I get it delivered 15th August? now.,delivery_time
I want to know How do I cancel my recent order?,cancel_order
I want to know What are your business hours? now.,store_hours
Urgent: Gift wrap this please. thanks.,gift_wrapping
When is the expected delivery?,delivery_time
"Hi, Human intervention required.",human_escalate
Urgent: My perfume is under warranty.,warranty_info
Unlock my profile please. ASAP.,account_login
I want to know Does it come with a guarantee? now.,warranty_info
I want to file a complaint. please.,complaint_register
"Hi, Can I alter my recent order? please.",order_modify
Please Does it come with a guarantee? thanks.,warranty_info
Can you tell me Unlock my profile please. ASAP.,account_login
My voucher is not working. please.,coupon_apply
Please Any update on my delivery? please.,track_order
I need to update my shipping details.,change_address
"Hi, Can you notify me when jeans is available?",product_availability
Urgent: Tell me the operating hours. ASAP.,store_hours
Urgent: Amount deducted from my account erroneously. now.,payment_issue
When do you close today?,store_hours
Urgent: What is the status of my order ORD1197? ASAP.,track_order
"Hi, I need a smaller size for my bag.",exchange_product
"I want to know The jeans doesn't fit, want an exchange. please.",exchange_product
I want to know The service for order ORD1945 was terrible.,complaint_register
"Urgent: The app says payment failed, but my bank says successful. now.",payment_issue
Urgent: How to add a product review? please.,product_review
Can I get a perfume in free size instead? ASAP.,exchange_product
I want to know Can you conceal the price tag?,gift_wrapping
Can I add kurta to my current order? thanks.,order_modify
Urgent: Can I change the attributes of order ORD6266?,order_modify
I want to know How do I apply for an exchange? ASAP.,exchange_product
Please Coupon OFF12 says invalid. ASAP.,coupon_apply
Can you tell me Change the quantity to 6.,order_modify
Please Availability of t-shirt please.,product_availability
Availability of laptop please. ASAP.,product_availability
Please Gift wrapping cost?,gift_wrapping
Urgent: Let me speak to customer care. ASAP.,human_escalate
"Hi, Where is my money for order ORD5531? please.",refund_status
Can you tell me I want to give 5 stars.,product_review
Please Modify the delivery location.,change_address
I want to know I need to report an issue with the delivery. ASAP.,complaint_register
"Hi, Until what time are you open? please.",store_hours
Exchange POLICY? now.,exchange_product
What time does your store open? thanks.,store_hours
How many days for the refund to process? ASAP.,refund_status
Please Can you notify me when saree is available? ASAP.,product_availability
Why can't I apply this discount? ASAP.,coupon_apply
Please Has the refund been initiated?,refund_status
Urgent: Is the warranty valid in Pune? thanks.,warranty_info
I want to know Can I apply coupon on perfume? thanks.,coupon_apply
Help me recover my account. ASAP.,account_login
Please I am not getting the OTP to login.,account_login
I want to know I want to place a bulk order.,bulk_order
"Hi, I want to change my delivery address.",change_address
Modify the delivery location. please.,change_address
Please Take my complaint. please.,complaint_register
Complaint about the courier in Jaipur. thanks.,complaint_register
"Hi, Replace this saree with a larger one. please.",exchange_product
I want to know How much is shipping to Chennai?,shipping_cost
Can you tell me I need a smaller size for my t-shirt.,exchange_product
Can you tell me Send this wrapped to Ahmedabad. ASAP.,gift_wrapping
Please Connect me to an agent.,human_escalate
Urgent: How fast can you deliver to Jaipur? ASAP.,delivery_time
Can you tell me Shipping charges are too high. thanks.,shipping_cost
Please I haven't received my refund yet. please.,refund_status
Where can I register my grievance? thanks.,complaint_register
Can you tell me How to share my feedback on the perfume? now.,product_review
Urgent: Replace this laptop with a larger one. now.,exchange_product
Urgent: Change the quantity to 21.,order_modify
Do you offer gift wrapping? ASAP.,gift_wrapping
"Hi, Payment issue with my recent transaction.",payment_issue
Urgent: How to use promo code? ASAP.,coupon_apply
"Urgent: I changed my mind, cancel order ORD7232. please.",cancel_order
Schedule a pickup for returning my order.,return_product
Please Exchange my order ORD3340. thanks.,exchange_product
Urgent: Put me through to support staff. please.,human_escalate
Urgent: Check if size L is there for shoes.,product_availability
Please Is the warranty valid in Ahmedabad? now.,warranty_info
Amount deducted from my account erroneously.,payment_issue
I want to know Exchange POLICY? please.,exchange_product
Can you tell me How fast can you deliver to Bangalore?,delivery_time
Is there an option to send kurta as a gift? thanks.,gift_wrapping
Bulk discount available? thanks.,bulk_order
I haven't received my refund yet.,refund_status
Please Please abort my delivery for mobile.,cancel_order
Urgent: I want this watch. Is it available? thanks.,product_availability
Urgent: Shipping charges are too high. please.,shipping_cost
Can you tell me My saree is under warranty. now.,warranty_info
Can you tell me I want to order 84 of watch. now.,bulk_order
"Hi, What are your business hours? ASAP.",store_hours
"Hi, Can I buy wholesale? thanks.",bulk_order
Can you tell me Let me speak to customer care. now.,human_escalate
Let me speak to customer care. please.,human_escalate
Please Delivery cost for bag?,shipping_cost
Can I get it delivered Friday? now.,delivery_time
"Can you tell me This jeans is defective, I need a return. please.",return_product
"Hi, Exchange POLICY? please.",exchange_product
I want to know I want to return this bag. ASAP.,return_product
Put me through to support staff. now.,human_escalate
"Hi, Any update on my delivery?",track_order
Can you tell me I need this to be a present.,gift_wrapping
Urgent: When is the expected delivery? now.,delivery_time
"Hi, When will the bag be back in stock? ASAP.",product_availability
Store timings in Pune?,store_hours
Can I rate the seller?,product_review
I want to know I want to order 57 of saree.,bulk_order
Can you tell me Can I get it delivered 2 days ago? please.,delivery_time
What is the status of my order ORD2706? now.,track_order
Is physical damage covered under warranty? thanks.,warranty_info
Please When will the kurta be back in stock? ASAP.,product_availability
Money deducted but order not placed.,payment_issue
"Can you tell me I changed my mind, cancel order ORD1900. ASAP.",cancel_order
Please Change my address for order ORD6126. please.,change_address
Are you open 10th October?,store_hours
I want to know How do I review this t-shirt?,product_review
Urgent: Refund status for my returned kurta? please.,refund_status
"Hi, Can I alter my recent order?",order_modify
Urgent: What does the warranty cover? now.,warranty_info
Urgent: I want to place a bulk order. please.,bulk_order
Can you tell me The discount code OFF13 is showing an error. ASAP.,coupon_apply
Can you tell me Please credit my refund. ASAP.,refund_status
Can you tell me Where can I register my grievance? thanks.,complaint_register
Do you offer gift wrapping?,gift_wrapping
Can you tell me Modify the delivery location. ASAP.,change_address
I want to know Send this wrapped to Pune.,gift_wrapping
Can you tell me Can you track my order? ASAP.,track_order
Urgent: Are there any units left for saree?,product_availability
Can you tell me Remove laptop from order ORD1432.,order_modify
Please Warranty period please. ASAP.,warranty_info
I want to know What is the delivery charge?,shipping_cost
How to use promo code? now.,coupon_apply
Please Deliver this to Bangalore instead.,change_address
Please I can't log into my account. thanks.,account_login
Please Is this item out of stock?,product_availability
How much is shipping to Hyderabad? now.,shipping_cost
How to claim guarantee?,warranty_info
Can you tell me I need to order t-shirt in bulk.,bulk_order
I want to know I need to update my shipping details.,change_address
Please I need to report an issue with the delivery. now.,complaint_register
"Hi, Is express delivery available?",delivery_time
I want to know Is my order out for delivery? now.,track_order
Can you conceal the price tag? thanks.,gift_wrapping
Can you tell me Cancel this order immediately.,cancel_order
I want to know How many months of warranty for saree?,warranty_info
Are you open 10th October? ASAP.,store_hours
"Hi, Update my cart for order ORD9262.",order_modify
"Hi, Put me through to support staff. now.",human_escalate
Can you tell me Unlock my profile please. ASAP.,account_login
I want to know How long does shipping take? now.,delivery_time
I want to know I want to place a bulk order.,bulk_order
Register a complaint regarding order ORD7721.,complaint_register
I want to know Put me through to support staff. thanks.,human_escalate
Refund status for my returned shoes? thanks.,refund_status
Urgent: I want to talk to a human.,human_escalate
Can you tell me Can I change shipping address to Surat?,change_address
Change my address for order ORD6267. now.,change_address
"Hi, Where is my order? please.",track_order
Urgent: I want to change the items I bought.,order_modify
Urgent: How do I reset my password? thanks.,account_login
"Hi, I want to leave a rating. now.",product_review
Please My bag is under warranty.,warranty_info
Please Is shipping free?,shipping_cost
Can you tell me Where can I register my grievance? now.,complaint_register
Is physical damage covered under warranty? ASAP.,warranty_info
"Hi, I am not getting the OTP to login. thanks.",account_login
I want to know I want to exchange this kurta. now.,exchange_product
Urgent: Are you open tomorrow? thanks.,store_hours
The discount code OFF41 is showing an error.,coupon_apply
When will my order ORD9953 be delivered? ASAP.,delivery_time
My payment is stuck. please.,payment_issue
Please Do you offer gift wrapping? please.,gift_wrapping
"Hi, When will the watch be back in stock? ASAP.",product_availability
"The item is damaged, I need to return it. thanks.",return_product
I want to know Take my complaint.,complaint_register
"Hi, Please credit my refund. thanks.",refund_status
Please Can I upload photos for my review of mobile?,product_review
Can you tell me Is express delivery available?,delivery_time
Please I want to file a complaint. please.,complaint_register
